run_id,order_index,source_id,engine,format,wall_seconds,yarn_seconds,memory_seconds,vcore_seconds,application_count,expected_total,reachable,unreachable,max_distance,verified
1,1,ARGUACZ1187FB3F35C,mapreduce,avro,1368.24,543.395,2616671,1881,13,44745,43228,1517,10,true
1,2,ARGUACZ1187FB3F35C,mapreduce,parquet,1444.37,599.534,2956610,2162,13,44745,43228,1517,10,true
1,3,ARGUACZ1187FB3F35C,spark,avro,97.24,73.142,291242,178,1,44745,43228,1517,10,true
1,4,ARGUACZ1187FB3F35C,spark,parquet,99.46,78.502,314957,192,1,44745,43228,1517,10,true
2,1,ARGUACZ1187FB3F35C,mapreduce,parquet,1435.80,597.707,2959603,2156,13,44745,43228,1517,10,true
2,2,ARGUACZ1187FB3F35C,spark,avro,95.53,73.219,289864,177,1,44745,43228,1517,10,true
2,3,ARGUACZ1187FB3F35C,spark,parquet,99.36,78.018,309653,189,1,44745,43228,1517,10,true
2,4,ARGUACZ1187FB3F35C,mapreduce,avro,1384.87,535.499,2627413,1897,13,44745,43228,1517,10,true
3,1,ARGUACZ1187FB3F35C,spark,avro,94.95,72.371,286228,174,1,44745,43228,1517,10,true
3,2,ARGUACZ1187FB3F35C,spark,parquet,99.19,77.854,314399,191,1,44745,43228,1517,10,true
3,3,ARGUACZ1187FB3F35C,mapreduce,avro,1347.07,538.505,2644096,1908,13,44745,43228,1517,10,true
3,4,ARGUACZ1187FB3F35C,mapreduce,parquet,1427.77,595.025,2938940,2139,13,44745,43228,1517,10,true
4,1,ARGUACZ1187FB3F35C,spark,parquet,102.73,78.801,317855,192,1,44745,43228,1517,10,true
4,2,ARGUACZ1187FB3F35C,mapreduce,avro,1378.19,535.798,2621770,1893,13,44745,43228,1517,10,true
4,3,ARGUACZ1187FB3F35C,mapreduce,parquet,1407.11,596.948,2941931,2143,13,44745,43228,1517,10,true
4,4,ARGUACZ1187FB3F35C,spark,avro,97.86,73.090,288294,177,1,44745,43228,1517,10,true
5,1,ARGUACZ1187FB3F35C,mapreduce,avro,1365.07,547.074,2668008,1925,13,44745,43228,1517,10,true
5,2,ARGUACZ1187FB3F35C,mapreduce,parquet,1440.26,610.301,3026436,2213,13,44745,43228,1517,10,true
5,3,ARGUACZ1187FB3F35C,spark,avro,101.96,76.810,300872,184,1,44745,43228,1517,10,true
5,4,ARGUACZ1187FB3F35C,spark,parquet,100.50,78.833,317614,192,1,44745,43228,1517,10,true
